연번,상가유형,호선,역사명,상가번호,면적(제곱미터),영업업종,계약시작일자,계약종료일자,월임대료
1206,67일괄,7,하계역,715-110,47,,,,
1207,67일괄,7,하계역,715-111,33,,,,
1208,네트워크,7,공릉역,716-101,29.88,액세서리,2018-05-09,2023-07-07,1767769
1209,네트워크,7,공릉역,716-102,28.91,편의점,2020-02-13,2025-04-12,7699120
1210,개별(일반),7,공릉역,716-103,29.42,의류,2019-10-05,2024-11-03,3230000
1211,개별(일반),7,공릉역,716-104,30,의류,2020-07-01,2025-07-31,2300000
1212,개별(일반),7,공릉역,716-105,50,제과,2020-07-01,2025-07-31,3600000
1213,67일괄,7,공릉역,716-106,40,,,,
1214,네트워크,7,태릉입구(7)역,717-102,37.14,편의점,2020-02-13,2025-04-12,9603880
1215,67일괄,7,태릉입구(7)역,717-105,31,,,,
1216,67일괄,7,태릉입구(7)역,717-112,33,,,,
1217,개별(일반),7,태릉입구(7)역,717-302,59,의류,2018-02-23,2023-03-24,8630000
1218,개별(일반),7,태릉입구(7)역,717-303,59,의류,2018-02-23,2023-03-24,8630000
1219,67일괄,7,태릉입구(7)역,717-304,50,,,,
1220,67일괄,7,태릉입구(7)역,717-305,40,,,,
1221,개별(일반),7,태릉입구(7)역,717-307,45,의류,2020-07-23,2025-08-22,2033300
1222,67일괄,7,먹골역,718-101,48,,,,
1223,67일괄,7,먹골역,718-109,34,,,,
1224,네트워크,7,먹골역,718-201,24.38,편의점,2020-02-13,2025-04-12,6181890
1225,67일괄,7,먹골역,718-202,58,,,,
1226,67일괄,7,먹골역,718-203,57,,,,
1227,67일괄,7,먹골역,718-205,35,,,,
1228,67일괄,7,먹골역,718-206,35,,,,
1229,네트워크,7,중화역,719-101,29.7,편의점,2020-02-13,2025-04-12,7671950
1230,개별(일반),7,중화역,719-102,39.02,의류,2020-03-12,2025-04-11,3560000
1231,복합,7,중화역,719-103,28.43,기타,2017-03-20,2022-06-18,13013482
1232,복합,7,중화역,719-104,39.57,의류,2017-03-20,2022-06-18,
1233,복합,7,중화역,719-105,37.38,제과,2017-03-20,2022-06-18,
1234,복합,7,중화역,719-106,95.23,의류,2017-03-20,2022-06-18,
1235,개별(일반),7,중화역,719-109,30,의류,2020-04-17,2025-05-17,2789300
1236,67일괄,7,중화역,719-112,44,,,,
1237,67일괄,7,중화역,719-113,50,,,,
1238,67일괄,7,중화역,719-114,18,,,,
1239,67일괄,7,중화역,719-115,45,,,,
1240,67일괄,7,중화역,719-202,70,,,,
1241,67일괄,7,중화역,719-203,50,,,,
1242,67일괄,7,상봉역,720-102,60,,,,
1243,개별(일반),7,상봉역,720-201,43.09,액세서리,2018-09-28,2023-11-26,4246900
1244,네트워크,7,상봉역,720-202,45.48,편의점,2020-02-13,2025-04-12,13788060
1245,67일괄,7,상봉역,720-203,74,,,,
1246,67일괄,7,상봉역,720-204,53,,,,
1247,67일괄,7,상봉역,720-205,52,,,,
1248,67일괄,7,상봉역,720-206,78,,,,
1249,네트워크,7,면목역,721-101,29,의류,2018-05-09,2023-07-07,2132026
1250,네트워크,7,면목역,721-102,36.08,편의점,2020-02-13,2025-04-12,10569130
1251,개별(일반),7,면목역,721-103,32,제과,2020-06-08,2025-07-08,4500000
1252,개별(일반),7,면목역,721-104,16.8,의류,2019-09-20,2024-10-19,1850000
1253,67일괄,7,면목역,721-105,24,,,,
1254,67일괄,7,면목역,721-106,78,,,,
1255,67일괄,7,면목역,721-108,52,,,,
1256,67일괄,7,면목역,721-109,53,,,,
1257,67일괄,7,면목역,721-110,107,,,,
1258,개별(일반),7,면목역,721-301,64,제과,2019-09-23,2024-09-22,4500300
1259,복합,7,면목역,721-302,45.56,의류,2017-03-20,2022-06-18,8706792
1260,복합,7,면목역,721-303,55.05,의류,2017-03-20,2022-06-18,
1261,복합,7,면목역,721-304,16.93,기타,2017-03-20,2022-06-18,
1262,복합,7,면목역,721-305,16.68,의류,2017-03-20,2022-06-18,
1263,67일괄,7,사가정역,722-102,58,,,,
1264,67일괄,7,사가정역,722-103,112,,,,
1265,67일괄,7,사가정역,722-104,46,,,,
1266,개별(일반),7,사가정역,722-301,21.9,사무실,2019-05-21,2024-06-19,233500
1267,네트워크,7,사가정역,722-302,32.21,편의점,2020-02-13,2025-04-12,11204050
1268,복합,7,사가정역,722-303,26.03,의류,2017-03-20,2022-06-18,15254726
1269,복합,7,사가정역,722-304,25.64,의류,2017-03-20,2022-06-18,
1270,복합,7,사가정역,722-305,106.54,의류,2017-03-20,2022-06-18,
1271,복합,7,사가정역,722-306,41.82,의류,2017-03-20,2022-06-18,
1272,복합,7,사가정역,722-307,35.13,기타,2017-03-20,2022-06-18,
1273,67일괄,7,사가정역,722-309,93,,,,
1274,네트워크,7,용마산역,723-101,28.8,편의점,2020-02-13,2025-04-12,5070780
1275,67일괄,7,용마산역,723-105,66,,,,
1276,개별(일반),7,용마산역,723-106,36,사무실,2020-11-18,2025-12-18,1382400
1277,개별(일반),7,용마산역,723-107,35,사무실,2020-11-18,2025-12-18,
1278,67일괄,7,용마산역,723-301,55,,,,
1279,67일괄,7,용마산역,723-302,55,,,,
1280,개별(일반),7,용마산역,723-303,58,사무실,2020-11-18,2025-12-18,
1281,네트워크,7,중곡역,724-101,35.16,편의점,2020-02-13,2025-04-12,5995990
1282,개별(일반),7,중곡역,724-201,46.99,의류,2020-10-23,2025-11-22,2500300
1283,67일괄,7,중곡역,724-202,46,,,,
1284,67일괄,7,중곡역,724-203,14,,,,
1285,네트워크,7,군자(7)역,725-101,54.82,편의점,2020-02-13,2025-04-12,14890590
1286,공실,7,군자(7)역,725-102,43,,,,
1287,67일괄,7,군자(7)역,725-103,40,,,,
1288,67일괄,7,군자(7)역,725-104,50,,,,
1289,67일괄,7,군자(7)역,725-105,55,,,,
1290,네트워크,7,군자(7)역,725-301,33.9,의류,2018-05-12,2023-07-10,2618429
1291,네트워크,7,군자(7)역,725-302,86.95,의류,2018-05-09,2023-07-07,3196209
1292,67일괄,7,군자(7)역,725-303,32.7,,,,
1293,네트워크,7,군자(7)역,725-304,20,제과,2021-02-25,2026-04-26,4336640
1294,67일괄,7,군자(7)역,725-305,24.24,,,,
1295,개별(일반),7,군자(7)역,725-306,23.5,제과,2019-12-21,2025-01-19,5032000
1296,67일괄,7,군자(7)역,725-307,33,,,,
1297,67일괄,7,군자(7)역,725-308,27,,,,
1298,67일괄,7,군자(7)역,725-309,31,,,,
1299,67일괄,7,군자(7)역,725-310,27,,,,
1300,네트워크,7,어린이대공원역,726-101,35.6,편의점,2020-02-13,2025-04-12,12632620
1301,67일괄,7,어린이대공원역,726-102,18.48,,,,
1302,공실,7,어린이대공원역,726-103,34.61,,,,
1303,67일괄,7,어린이대공원역,726-104,70,,,,
1304,67일괄,7,어린이대공원역,726-105,60,,,,
1305,67일괄,7,어린이대공원역,726-106,58,,,,
1306,67일괄,7,어린이대공원역,726-201,37,,,,
1307,67일괄,7,어린이대공원역,726-202,37,,,,
1308,67일괄,7,어린이대공원역,726-203,56,,,,
1309,67일괄,7,어린이대공원역,726-204,46,,,,
1310,67일괄,7,어린이대공원역,726-205,30,,,,
1311,67일괄,7,어린이대공원역,726-206,22,,,,
1312,개별(대형),7,건대입구(7)역,727-101,867.64,기타,2020-09-15,2025-09-14,18989000
1313,개별(일반),7,건대입구(7)역,727-201,76,의약업,2020-01-09,2025-02-07,25650000
1314,네트워크,7,건대입구(7)역,727-202,37.36,편의점,2020-02-13,2025-04-12,13409110
1315,67일괄,7,건대입구(7)역,727-204,75,,,,
1316,67일괄,7,건대입구(7)역,727-205,30,,,,
1317,67일괄,7,건대입구(7)역,727-206,29,,,,
1318,67일괄,7,건대입구(7)역,727-301,26,,,,
1319,67일괄,7,건대입구(7)역,727-302,32,,,,
1320,네트워크,7,뚝섬유원지역,728-001,29.89,편의점,2020-02-13,2025-04-12,5262400
1321,67일괄,7,청담역,729-103,33,,,,
1322,67일괄,7,청담역,729-301,69.7,,,,
1323,개별(일반),7,청담역,729-303,97.44,기타,2017-09-01,2022-10-31,2819712
1324,네트워크,7,청담역,729-306,65.36,제과,2021-02-25,2026-04-26,3417040
1325,개별(일반),7,청담역,729-307,37.11,의류,2021-03-18,2026-04-17,1500200
1326,네트워크,7,청담역,729-308,52.34,편의점,2020-02-13,2025-04-12,16639480
1327,개별(일반),7,청담역,729-326,35.2,기타,2019-09-23,2024-09-22,1301600
1328,67일괄,7,청담역,729-327,154.27,,,,
1329,67일괄,7,청담역,729-331,25,,,,
1330,67일괄,7,청담역,729-332,43,,,,
1331,67일괄,7,청담역,729-333,55,,,,
1332,67일괄,7,청담역,729-334,35,,,,
1333,67일괄,7,청담역,729-335,43,,,,
1334,67일괄,7,청담역,729-340,99,,,,
1335,67일괄,7,청담역,729-377,25,,,,
1336,67일괄,7,청담역,729-378,54,,,,
1337,네트워크,7,강남구청역,730-101,63.8,편의점,2020-02-13,2025-04-12,16140410
1338,개별(대형),7,강남구청역,730-102,355.7,의약업,2019-04-22,2024-07-20,4901000
1339,복합,7,강남구청역,730-103,472,기타,2021-06-14,2026-09-12,16671500
1340,복합,7,강남구청역,730-104,,기타,2021-06-14,2026-09-12,
1341,복합,7,강남구청역,730-105,,기타,2021-06-14,2026-09-12,
1342,복합,7,강남구청역,730-106,,기타,2021-06-14,2026-09-12,
1343,복합,7,강남구청역,730-107,,기타,2021-06-14,2026-09-12,
1344,복합,7,강남구청역,730-108,,기타,2021-06-14,2026-09-12,
1345,복합,7,강남구청역,730-109,,기타,2021-06-14,2026-09-12,
1346,복합,7,강남구청역,730-110,,기타,2021-06-14,2026-09-12,
1347,개별(일반),7,강남구청역,730-111,22,의약업,2019-04-19,2024-07-17,3010000
1348,공실,7,강남구청역,730-201,73.3,,,,
1349,네트워크,7,강남구청역,730-202,57,액세서리,2018-05-09,2023-07-07,4388000
1350,개별(일반),7,강남구청역,730-204,9.2,의류,2017-04-14,2022-05-14,930998
1351,개별(일반),7,강남구청역,730-205,28,의류,2019-10-24,2024-11-22,2000000
1352,67일괄,7,강남구청역,730-206,55,,,,
1353,67일괄,7,강남구청역,730-207,30,,,,
1354,67일괄,7,강남구청역,730-208,36,,,,
1355,67일괄,7,강남구청역,730-209,36,,,,
1356,67일괄,7,강남구청역,730-210,41,,,,
1357,67일괄,7,강남구청역,730-211,41,,,,
1358,67일괄,7,학동역,731-102,16,,,,
1359,네트워크,7,학동역,731-201,55.45,편의점,2020-02-13,2025-04-12,15504060
1360,개별(일반),7,학동역,731-202,16.4,의류,2018-08-14,2023-09-12,2106500
1361,개별(일반),7,학동역,731-203,17.54,제과,2019-12-21,2025-01-19,4680000
1362,개별(일반),7,학동역,731-205,31.39,의류,2020-02-24,2025-03-25,2683000
1363,개별(일반),7,학동역,731-206,29.44,의류,2019-09-20,2024-10-19,4001000
1364,네트워크,7,학동역,731-208,58,액세서리,2018-05-09,2023-07-07,4244489
1365,공실,7,학동역,731-209,68.55,,,,
1366,67일괄,7,학동역,731-210,51,,,,
1367,67일괄,7,학동역,731-211,25,,,,
1368,67일괄,7,학동역,731-212,44,,,,
1369,67일괄,7,학동역,731-213,41,,,,
1370,67일괄,7,학동역,731-214,42,,,,
1371,67일괄,7,학동역,731-215,41,,,,
1372,67일괄,7,학동역,731-216,21,,,,
1373,네트워크,7,논현역,732-101,57.7,의류,2018-05-09,2023-07-07,5189834
1374,개별(일반),7,논현역,732-102,63.44,식음료,2019-12-10,2025-01-08,5606500
1375,개별(일반),7,논현역,732-103,37.8,의류,2017-03-09,2022-04-08,3530000
1376,네트워크,7,논현역,732-104,44.65,편의점,2020-02-13,2025-04-12,13317590
1377,공실,7,논현역,732-105,33.6,,,,
1378,67일괄,7,논현역,732-107,35,,,,
1379,67일괄,7,논현역,732-108,29,,,,
1380,네트워크,7,논현역,732-201,29.92,제과,,,
1381,개별(일반),7,논현역,732-202,30,의류,2018-02-23,2024-03-24,6820000
1382,네트워크,7,논현역,732-203,23,화장품,2020-12-23,2026-03-23,2077017
1383,67일괄,7,논현역,732-207,50,,,,
1384,67일괄,7,논현역,732-208,50,,,,
1385,67일괄,7,논현역,732-209,33,,,,
1386,67일괄,7,논현역,732-210,25,,,,
1387,67일괄,7,논현역,732-211,46,,,,
1388,67일괄,7,논현역,732-212,75,,,,
1389,복합,7,반포역,733-111,1260.58,기타,2017-12-02,2023-03-01,15229200
1390,복합,7,반포역,733-112,,기타,2017-12-02,2023-03-01,
1391,복합,7,반포역,733-113,,기타,2017-12-02,2023-03-01,
1392,복합,7,반포역,733-114,,사무실,2017-12-02,2023-03-01,
1393,복합,7,반포역,733-115,,기타,2017-12-02,2023-03-01,
1394,복합,7,반포역,733-102,277.14,기타,2017-12-02,2023-03-01,
1395,복합,7,반포역,733-103,75.48,기타,2017-12-02,2023-03-01,
1396,개별(일반),7,반포역,733-138,40,의류,2020-06-04,2025-07-04,2700000
1397,네트워크,7,반포역,733-154,40.36,편의점,2020-02-13,2025-04-12,7854990
1398,67일괄,7,반포역,733-156,30,,,,
1399,67일괄,7,반포역,733-201,43,,,,
1400,67일괄,7,반포역,733-202,42,,,,
1401,개별(일반),7,고속터미널(7)역,734-101,556,기타,2021-01-05,2026-04-05,6666600
1402,67일괄,7,고속터미널(7)역,734-140,95,,,,
1403,67일괄,7,고속터미널(7)역,734-142,44,,,,
1404,개별(일반),7,고속터미널(7)역,734-201,44,기타,2019-06-25,2024-07-24,3020000
1405,복합,7,고속터미널(7)역,734-202,123.69,기타,2017-06-09,2022-11-06,145000000
1406,복합,7,고속터미널(7)역,734-203,,의류,2017-06-09,2022-11-06,
1407,복합,7,고속터미널(7)역,734-204,,기타,2017-06-09,2022-11-06,
1408,복합,7,고속터미널(7)역,734-205,44.31,기타,2017-06-09,2022-11-06,
1409,복합,7,고속터미널(7)역,734-206,62.77,기타,2017-06-09,2022-11-06,
1410,복합,7,고속터미널(7)역,734-207,,기타,2017-06-09,2022-11-06,
1411,복합,7,고속터미널(7)역,734-208,,기타,2017-06-09,2022-11-06,
1412,복합,7,고속터미널(7)역,734-210,231.28,기타,2017-06-09,2022-11-06,
1413,복합,7,고속터미널(7)역,734-211,,기타,2017-06-09,2022-11-06,
1414,복합,7,고속터미널(7)역,734-212,,기타,2017-06-09,2022-11-06,
1415,복합,7,고속터미널(7)역,734-213,,기타,2017-06-09,2022-11-06,
1416,복합,7,고속터미널(7)역,734-214,376.56,기타,2017-06-09,2022-11-06,
1417,개별(일반),7,고속터미널(7)역,734-209,360,기타,2020-07-01,2025-09-28,5300000
1418,네트워크,7,고속터미널(7)역,734-215,60.27,편의점,2020-02-13,2025-04-12,23453430
1419,네트워크,7,고속터미널(7)역,734-216,71.53,제과,2016-06-07,2021-08-06,7470141
1420,개별(일반),7,내방역,735-101,45,액세서리,2017-03-09,2022-04-08,4200000
1421,네트워크,7,내방역,735-103,62.21,편의점,2020-02-13,2025-04-12,15240940
1422,개별(일반),7,내방역,735-201,30.78,제과,2020-03-13,2025-04-12,3730000
1423,67일괄,7,내방역,735-202,34,,,,
1424,67일괄,7,내방역,735-203,28,,,,
1425,67일괄,7,내방역,735-204,28,,,,
1426,개별(대형),7,이수(7)역,736-101,592,기타,2018-12-20,2024-04-18,10552300
1427,공실,7,이수(7)역,736-102,48,,,,
1428,67일괄,7,이수(7)역,736-103,51,,,,
1429,67일괄,7,이수(7)역,736-104,51,,,,
1430,67일괄,7,이수(7)역,736-112,74,,,,
1431,공실,7,이수(7)역,736-301,24.01,,,,
1432,67일괄,7,이수(7)역,736-302,38.02,,,,
1433,67일괄,7,이수(7)역,736-303,129.35,,,,
1434,네트워크,7,이수(7)역,736-307,54.05,편의점,2020-02-13,2025-04-12,14677520
1435,개별(일반),7,이수(7)역,736-308,9.84,기타,2020-03-02,2025-04-01,2250000
1436,네트워크,7,이수(7)역,736-310,27.22,제과,2021-02-25,2026-04-26,4532176
1437,67일괄,7,이수(7)역,736-311,74.41,,,,
1438,네트워크,7,이수(7)역,736-313,22.5,플라워,2018-11-27,2024-01-25,1865759
1439,67일괄,7,이수(7)역,736-315,64,,,,
1440,67일괄,7,이수(7)역,736-316,35,,,,
1441,67일괄,7,이수(7)역,736-317,25,,,,
1442,67일괄,7,이수(7)역,736-320,23,,,,
1443,67일괄,7,이수(7)역,736-321,35,,,,
1444,네트워크,7,남성역,737-101,45.25,편의점,2020-02-13,2025-04-12,9788350
1445,67일괄,7,남성역,737-202,45,,,,
1446,67일괄,7,남성역,737-203,26,,,,
1447,67일괄,7,남성역,737-204,15,,,,
1448,67일괄,7,남성역,737-205,50,,,,
1449,네트워크,7,숭실대입구역,738-101,39.29,편의점,2020-02-13,2025-04-12,9835540
1450,네트워크,7,숭실대입구역,738-102,22.02,제과,2016-06-07,2021-08-06,2762795
1451,네트워크,7,숭실대입구역,738-201,37,액세서리,2018-05-09,2023-07-07,2373626
1452,67일괄,7,숭실대입구역,738-202,35.7,,,,
1453,개별(일반),7,숭실대입구역,738-203,42,플라워,2018-11-20,2023-12-19,1300000
1454,67일괄,7,숭실대입구역,738-204,28,,,,
1455,67일괄,7,숭실대입구역,738-213,30,,,,
1456,개별(일반),7,숭실대입구역,738-501,116,기타,2020-08-05,2025-08-04,1430000
1457,네트워크,7,상도역,739-101,112.57,편의점,2020-02-13,2025-04-12,21907600
1458,개별(일반),7,상도역,739-201,25.2,제과,2018-09-28,2023-10-27,3517000
1459,67일괄,7,상도역,739-202,50,,,,
1460,67일괄,7,상도역,739-203,34,,,,
1461,67일괄,7,상도역,739-204,26,,,,
1462,네트워크,7,장승배기역,740-101,36.18,편의점,2020-02-13,2025-04-12,8185320
1463,개별(일반),7,장승배기역,740-201,35.52,의류,2019-06-25,2024-07-24,2710000
1464,67일괄,7,장승배기역,740-202,54,,,,
1465,67일괄,7,장승배기역,740-203,40,,,,
1466,67일괄,7,장승배기역,740-204,60,,,,
1467,67일괄,7,장승배기역,740-205,80,,,,
1468,67일괄,7,장승배기역,740-207,38,,,,
1469,네트워크,7,신대방삼거리역,741-101,51.49,편의점,2020-02-13,2025-04-12,13025870
1470,67일괄,7,신대방삼거리역,741-102,55,,,,
1471,네트워크,7,신대방삼거리역,741-201,25.06,액세서리,2018-05-09,2023-07-07,1607650
1472,개별(일반),7,신대방삼거리역,741-202,34,의류,2018-08-14,2023-09-12,1818300
1473,67일괄,7,신대방삼거리역,741-203,61,,,,
1474,67일괄,7,신대방삼거리역,741-204,43,,,,
1475,67일괄,7,신대방삼거리역,741-205,43,,,,
1476,67일괄,7,신대방삼거리역,741-206,49,,,,
1477,67일괄,7,신대방삼거리역,741-207,27,,,,
1478,67일괄,7,신대방삼거리역,741-208,42,,,,
1479,67일괄,7,신대방삼거리역,741-209,42,,,,
1480,67일괄,7,신대방삼거리역,741-210,42,,,,
1481,네트워크,7,보라매역,742-103,27.58,편의점,2020-02-13,2025-04-12,6309160
1482,67일괄,7,보라매역,742-105,38,,,,
1483,67일괄,7,보라매역,742-106,39,,,,
1484,67일괄,7,보라매역,742-107,32,,,,
1485,개별(일반),7,신풍역,743-103,30,의류,2019-12-17,2025-01-15,2020000
1486,네트워크,7,신풍역,743-104,32.82,편의점,2020-02-13,2025-04-12,8322600
1487,67일괄,7,신풍역,743-106,47,,,,
1488,67일괄,7,신풍역,743-108,40,,,,
1489,67일괄,7,신풍역,743-109,45,,,,
1490,67일괄,7,신풍역,743-110,45,,,,
1491,67일괄,7,신풍역,743-111,30,,,,
1492,67일괄,7,신풍역,743-112,30,,,,
1493,복합,7,대림(7)역,744-001,41.1,의류,2017-05-22,2022-09-19,22680670
1494,네트워크,7,대림(7)역,744-002,21.05,화장품,2020-12-23,2026-03-23,3920862
1495,개별(일반),7,대림(7)역,744-003,22,제과,2018-04-21,2023-05-20,7222000
1496,67일괄,7,대림(7)역,744-004,22,,,,
1497,네트워크,7,대림(7)역,744-101,49.58,플라워,2018-11-27,2024-01-25,6370673
1498,개별(일반),7,대림(7)역,744-102,44.74,의류,2020-06-08,2025-07-08,6600000
1499,복합,7,대림(7)역,744-103,68,의류,2017-05-22,2022-09-19,15079302
1500,네트워크,7,대림(7)역,744-104,29.51,편의점,2020-02-13,2025-04-12,13230360
1501,67일괄,7,대림(7)역,744-105,40,,,,
1502,67일괄,7,대림(7)역,744-106,39,,,,
1503,67일괄,7,대림(7)역,744-107,39,,,,
1504,67일괄,7,대림(7)역,744-108,30,,,,
1505,네트워크,7,남구로역,745-101,33.67,편의점,2020-02-13,2025-04-12,8428420
1506,67일괄,7,남구로역,745-103,40,,,,
1507,67일괄,7,남구로역,745-104,32,,,,
1508,공실,7,남구로역,745-201,69.14,,,,
1509,67일괄,7,남구로역,745-202,22,,,,
1510,67일괄,7,남구로역,745-203,43,,,,
1511,개별(일반),7,가산디지털단지역,746-001,31.71,의류,2020-11-26,2026-01-10,1300000
1512,개별(일반),7,가산디지털단지역,746-101,34,제과,2018-09-28,2023-10-27,7512000
1513,67일괄,7,가산디지털단지역,746-103,69,,,,
1514,네트워크,7,가산디지털단지역,746-301,41.97,플라워,2018-11-27,2024-01-25,3747975
1515,네트워크,7,가산디지털단지역,746-302,35.8,편의점,2020-02-13,2025-04-12,16485040
1516,네트워크,7,철산역,747-101,36.61,편의점,2020-02-13,2025-04-12,12851410
1517,복합,7,철산역,747-102,30,식음료,2016-05-02,2021-07-31,20050000
1518,복합,7,철산역,747-103,18,식음료,2016-05-02,2021-07-31,
1519,복합,7,철산역,747-105,63,의류,2016-05-02,2021-07-31,
1520,복합,7,철산역,747-106,71,액세서리,2016-05-02,2021-07-31,
1521,복합,7,철산역,747-109,42,의류,2016-05-02,2021-07-31,
1522,네트워크,7,광명사거리역,748-101,45.74,제과,2021-02-25,2026-04-26,5844784
1523,네트워크,7,광명사거리역,748-102,34.27,편의점,2020-02-13,2025-04-12,12292280
1524,67일괄,7,광명사거리역,748-103,13,,,,
1525,네트워크,7,광명사거리역,748-201,37.17,화장품,2020-12-23,2026-03-23,3849143
1526,67일괄,7,광명사거리역,748-203,44,,,,
1527,67일괄,7,광명사거리역,748-204,37,,,,
1528,67일괄,7,광명사거리역,748-205,40,,,,
1529,67일괄,7,광명사거리역,748-206,40,,,,
1530,67일괄,7,광명사거리역,748-207,41,,,,
1531,네트워크,7,천왕역,749-101,36.93,편의점,2020-02-13,2025-04-12,6160440
1532,개별(일반),7,천왕역,749-201,900.39,기타,2016-09-12,2022-03-10,1232310
1533,개별(일반),7,온수역,750-101,13.5,제과,2021-03-19,2026-04-18,2040000
1534,개별(일반),7,온수역,750-103,23.1,의류,2018-10-23,2023-11-21,3200000
1535,네트워크,7,온수역,750-104,29.81,편의점,2020-02-13,2025-04-12,6966960
1536,공실,7,온수역,750-105,41,,,,
1537,공실,7,온수역,750-106,35,,,,
1538,공실,7,온수역,750-107,82,,,,
1539,공실,7,온수역,750-108,128,,,,
1540,공실,7,온수역,750-112,60,,,,
1541,네트워크,7,까치울역,751-101,39,편의점,2018-06-29,2023-07-28,6767903
1542,네트워크,7,부천종합운동장역,752-101,58,편의점,2018-06-29,2023-07-28,9028975
1543,네트워크,7,춘의역,753-101,66,편의점,2018-06-29,2023-07-28,11453375
1544,네트워크,7,신중동역,754-101,65,편의점,2018-06-29,2023-07-28,20403240
1545,개별(일반),7,신중동역,754-102,62.06,식음료,2020-12-23,2026-01-22,2500000
1546,네트워크,7,부천시청역,755-101,41,편의점,2018-06-29,2023-07-28,15590167
1547,개별(일반),7,부천시청역,755-102,25.56,식음료,2020-11-16,2025-12-16,4301000
1548,개별(일반),7,부천시청역,755-103,24.48,액세서리,2020-02-24,2025-03-25,1820000
1549,개별(일반),7,부천시청역,755-104,21.24,의류,2017-09-16,2022-10-15,1426000
1550,네트워크,7,상동역,756-101,35,편의점,2018-06-29,2023-07-28,14559160
1551,개별(일반),7,상동역,756-102,42.02,제과,2021-02-25,2026-03-27,6807100
1552,네트워크,7,삼산체육관역,757-101,37,편의점,2018-06-29,2023-07-28,7648343
1553,네트워크,7,굴포천역,758-101,47,편의점,2018-06-29,2023-07-28,9595520
1554,개별(일반),7,부평구청역,759-101,214.88,기타,2020-05-26,2025-05-25,2710000
1555,네트워크,7,부평구청역,759-201,46,편의점,2018-06-29,2023-07-28,9273967
1556,개별(일반),8,암사역,810-101,36.54,기타,2019-10-08,2024-11-06,5130000
1557,네트워크,8,암사역,810-102,24,의류,2018-05-12,2023-07-10,1853755
1558,네트워크,8,암사역,810-103,35,편의점,2016-07-25,2021-11-17,13906760
1559,개별(일반),8,암사역,810-104,27.37,플라워,2020-12-31,2026-01-30,2150000
1560,네트워크,8,강동구청역,812-101,30,편의점,2016-07-25,2021-11-17,8849507
1561,공실,8,강동구청역,812-102,36.96,,,,
1562,개별(일반),8,강동구청역,812-201,37.45,의류,2019-04-02,2024-05-01,2180000
1563,개별(일반),8,강동구청역,812-202,46.69,식음료,2020-06-10,2025-07-10,2500000
1564,네트워크,8,몽촌토성역,813-101,36,편의점,2016-07-25,2021-11-17,7487918
1565,복합,8,잠실(8)역,814-101,191,식음료,2016-01-11,2021-04-10,150873570
1566,복합,8,잠실(8)역,814-102,118,의약업,2016-01-11,2021-04-10,
1567,복합,8,잠실(8)역,814-103,16,식음료,2016-01-11,2021-04-10,
1568,복합,8,잠실(8)역,814-104,225,식음료,2016-01-11,2021-04-10,
1569,복합,8,잠실(8)역,814-105,52,편의점,2016-01-11,2021-04-10,
1570,복합,8,잠실(8)역,814-106,708,기타,2016-01-11,2021-04-10,
1571,복합,8,잠실(8)역,814-107,40,의약업,2016-01-11,2021-04-10,
1572,복합,8,잠실(8)역,814-109,48,의류,2016-01-11,2021-04-10,
1573,복합,8,잠실(8)역,814-110,24,의류,2016-01-11,2021-04-10,
1574,복합,8,잠실(8)역,814-111,144,화장품,2016-01-11,2021-04-10,
1575,복합,8,잠실(8)역,814-112,24,식음료,2016-01-11,2021-04-10,
1576,복합,8,잠실(8)역,814-113,48,의류,2016-01-11,2021-04-10,
1577,복합,8,잠실(8)역,814-114,14.23,제과,2016-01-11,2021-04-10,
1578,복합,8,잠실(8)역,814-115,26,식음료,2016-01-11,2021-04-10,
1579,복합,8,잠실(8)역,814-116,56,식음료,2016-01-11,2021-04-10,
1580,복합,8,잠실(8)역,814-117,56,기타,2016-01-11,2021-04-10,
1581,복합,8,잠실(8)역,814-118,56,액세서리,2016-01-11,2021-04-10,
1582,복합,8,잠실(8)역,814-119,45,기타,2016-01-11,2021-04-10,
1583,복합,8,잠실(8)역,814-120,48,기타,2016-01-11,2021-04-10,
1584,복합,8,잠실(8)역,814-121,20,식음료,2016-01-11,2021-04-10,
1585,복합,8,잠실(8)역,814-122,20,식음료,2016-01-11,2021-04-10,
1586,복합,8,잠실(8)역,814-123,20,식음료,2016-01-11,2021-04-10,
1587,복합,8,잠실(8)역,814-202,29,제과,2016-01-11,2021-04-10,
1588,복합,8,잠실(8)역,814-203,13.5,식음료,2016-01-11,2021-04-10,
1589,복합,8,잠실(8)역,814-204,9.36,식음료,2016-01-11,2021-04-10,
1590,공실,8,잠실(8)역,814-201,28.6,,,,
1591,개별(일반),8,석촌역,815-101,30,기타,2017-01-05,2022-01-04,2500000
1592,네트워크,8,석촌역,815-102,38,편의점,2016-07-25,2021-11-17,9780832
1593,개별(일반),8,송파역,816-101,27.15,제과,2017-09-16,2022-10-15,1712000
1594,네트워크,8,송파역,816-102,32.2,편의점,2016-07-25,2021-11-17,5517976
1595,공실,8,가락시장(8)역,817-101,30.44,,,,
1596,네트워크,8,가락시장(8)역,817-102,33,편의점,2016-07-25,2021-11-17,7167277
1597,공실,8,가락시장(8)역,817-104,54.52,,,,
1598,개별(일반),8,가락시장(8)역,817-105,52.16,의류,2019-04-09,2024-05-08,4099800
