"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명"
"3080000","CDFH3301061996000004","19960904","","03","폐업","03","폐업","20020501","","","","907-3526","","142879","서울특별시 강북구 수유동 252-145번지 ","서울특별시 강북구 노해로 95  (수유동)","","삼일헬스클럽","20030417193724","I","2018-08-31 23:59:59.0","","201931.311298635    ","460182.936986187    ","체력단련장업","사립","","0","0","0","","",""
"3080000","CDFH3301061997000001","19970626","","03","폐업","03","폐업","20000415","","","","980-2121","","142815","서울특별시 강북구 미아동 322-1번지 ","서울특별시 강북구 도봉로 143  (미아동)","","강명헬스클럽","20030417193724","I","2018-08-31 23:59:59.0","","202375.390768737    ","457684.868086159    ","체력단련장업","사립","","0","0","0","","",""
"3080000","CDFH3301061997000004","19970721","","03","폐업","03","폐업","20020918","","","","982-0445","","142815","서울특별시 강북구 미아동 322-15번지 ","서울특별시 강북구 솔샘로67길 84  (미아동)","","왕자헬스","20030417193724","I","2018-08-31 23:59:59.0","","202368.208309364    ","457616.612757522    ","체력단련장업","사립","","0","0","0","","",""
"3090000","CDFH3301062016000005","20160628","","01","영업/정상","13","영업중","","","","","","","","서울특별시 도봉구 도봉동 62-4번지 ","서울특별시 도봉구 도봉로180길 6 2층 (도봉동)","01320","도봉스카이돔 헬스장","20160628185513","I","2018-08-31 23:59:59.0","","204041.829960482    ","464487.617817484    ","체력단련장업","사립","","1","","","","",""
"3100000","CDFH3301062021000001","20210119","","01","영업/정상","13","영업중","","","","","","","","서울특별시 노원구 상계동 746-3 랑은빌딩","서울특별시 노원구 동일로 1365 랑은빌딩 5층 502호 (상계동)","01763","피트니스 뭅","20210119140036","I","2020-11-30 22:01:00.0","","205332.84562534","460914.857563411","","","","","","","","",""
"3220000","CDFH3301062020000037","20201020","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 논현동 242-51 성부빌딩","서울특별시 강남구 선릉로 655 성부빌딩 2 3층 (논현동)","06099","프로짐","20210712160158","U","2020-12-06 23:04:00.0","","203619.737329962","445879.859319977","","","","","","","","",""
"3090000","CDFH3301061991000002","19911126","","01","영업/정상","13","영업중","","","","","","","132924","서울특별시 도봉구 창동 655-20번지 4층 ","서울특별시 도봉구 도봉로 468  (창동4층)","","대영헬스","20030206150839","I","2018-08-31 23:59:59.0","","202966.7837047      ","460551.406386109    ","체력단련장업","사립","","0","0","0","","",""
"3090000","CDFH3301061999000004","19991204","","01","영업/정상","13","영업중","","","","","","","132924","서울특별시 도봉구 창동 659-3번지 대명빌딩 6층 ","서울특별시 도봉구 도봉로 488  (창동대명빌딩 6층)","","포코-벤 헬스","20030206150839","I","2018-08-31 23:59:59.0","","203043.71061018     ","460737.456544857    ","체력단련장업","사립","","0","0","0","","",""
"3090000","CDFH3301062006000003","20061031","","01","영업/정상","13","영업중","","","","","994-5785","","132910","서울특별시 도봉구 창동 347-4번지 주공3단지내 상가 지1 ","서울특별시 도봉구 해등로 48 (창동주공3단지내 상가 지1)","","루이 짐","20190822110032","U","2019-08-24 02:40:00.0","","203794.927270997    ","460699.794608499    ","체력단련장업","사립","0","","","","","",""
"3090000","CDFH3301062006000004","20061213","","01","영업/정상","13","영업중","","","","","","","132851","서울특별시 도봉구 방학동 695-8번지 ","서울특별시 도봉구 도당로 76 3층 (방학동 방학프라자)","01343","Fitness Tok","20190820164628","U","2019-08-22 02:40:00.0","","203104.375371508    ","462460.664149857    ","체력단련장업","사립","","","","","","",""
"3090000","CDFH3301062017000001","20170407","","01","영업/정상","13","영업중","","","","","905-1133","","","서울특별시 도봉구 창동 578-142번지 ","서울특별시 도봉구 덕릉로 221 2층 (창동)","01471","슈퍼스타S 휘트니스","20170407133936","I","2018-08-31 23:59:59.0","","203216.530361879    ","459520.660717027    ","체력단련장업","사립","","1","","","","",""
"3090000","CDFH3301062005000001","20050729","","01","영업/정상","13","영업중","","","","","","","132854","서울특별시 도봉구 방학동 718-6번지 메인프라자 7층 ","서울특별시 도봉구 마들로 649-20 7층 (방학동 메인프라자)","132854","비타민헬스클럽","20121127140542","I","2018-08-31 23:59:59.0","","203885.511674049    ","462884.624009557    ","체력단련장업","사립","0","","","","","",""
"3090000","CDFH3301062005000003","20050921","","01","영업/정상","13","영업중","","","","","02-992-6611","","132881","서울특별시 도봉구 쌍문동 358번지 동주빌딩 지하1 ","서울특별시 도봉구 우이천로32길 38 (쌍문동동주빌딩 지하1)","","우리동네 체육관","20200403220510","U","2020-04-05 02:40:00.0","","202164.919977603    ","460767.381093697    ","체력단련장업","사립","0","","","3759.9","","",""
"3090000","CDFH3301062016000007","20161031","","03","폐업","03","폐업","20181018","","","","","","","서울특별시 도봉구 쌍문동 38-7번지 ","서울특별시 도봉구 방학로3길 114 (쌍문동)","01394","핏걸(Fit girl)","20181029142327","U","2018-10-31 02:38:16.0","","203322.672037161    ","461775.502351376    ","체력단련장업","사립","","1","","","","",""
"3090000","CDFH3301061996000002","19960124","","03","폐업","03","폐업","20070322","","","","","","132853","서울특별시 도봉구 방학동 704-49번지 3층 ","서울특별시 도봉구 도봉로 697  (방학동3층)","","영진남녀체육관","20070424175235","I","2018-08-31 23:59:59.0","","203695.536966137    ","462696.159291875    ","체력단련장업","사립","0","","","","","",""
"3090000","CDFH3301062001000001","20010605","","03","폐업","03","폐업","20190613","","","","","","132884","서울특별시 도봉구 쌍문동 388-33번지 한양(아)상가 3층 ","","","뉴스타헬스","20190613165451","U","2019-06-15 02:40:00.0","","202625.589439164    ","460395.256601978    ","체력단련장업","사립","0","","","","","",""
"3090000","CDFH3301062003000005","20030426","","03","폐업","03","폐업","20041027","","","","03-3494-5015","","132854","서울특별시 도봉구 방학동 705-20번지 2층 ","서울특별시 도봉구 도봉로 704  (방학동2층)","","헬스클럽","20061030152839","I","2018-08-31 23:59:59.0","","203771.476503128    ","462748.912540831    ","체력단련장업","사립","0","1","","972.8","","",""
"3090000","CDFH3301061993000003","19931013","","03","폐업","03","폐업","20080627","","","","","","132932","서울특별시 도봉구 방학동 669-3번지 4 ","서울특별시 도봉구 방학로 173  (방학동4)","","한양헬스크럽","20080627154402","I","2018-08-31 23:59:59.0","","202834.277755281    ","462194.074212594    ","체력단련장업","사립","0","","","","","",""
"3090000","CDFH3301061994000003","19941004","","03","폐업","03","폐업","20010523","","","","","","132848","서울특별시 도봉구 방학동 661-39번지 ","서울특별시 도봉구 도당로13길 8  (방학동)","","스타헬스","20061030150823","I","2018-08-31 23:59:59.0","","203086.122798129    ","462551.251671745    ","체력단련장업","사립","0","","","","","",""
"3090000","CDFH3301062003000007","20030219","","03","폐업","03","폐업","20200213","","","","954-3794","","132813","서울특별시 도봉구 도봉동 561-11번지 ","서울특별시 도봉구 도봉로 891  (도봉동)","","서원헬스(육체미)","20200214083443","U","2020-02-16 02:40:00.0","","203964.829171358    ","464625.423162623    ","체력단련장업","사립","0","","","","","",""
"3090000","CDFH3301062001000002","20010713","","03","폐업","03","폐업","20200420","","","","","","132848","서울특별시 도봉구 방학동 668-5번지 3층 ","서울특별시 도봉구 방학로 176  (방학동3층)","","헬스아카데미","20200420204435","U","2020-04-22 02:40:00.0","","202801.249503695    ","462239.217329029    ","체력단련장업","사립","","0","0","0","","",""
"3090000","CDFH3301062001000003","20010814","","03","폐업","03","폐업","20121212","","","","","","132898","서울특별시 도봉구 창동 9-1번지 ","서울특별시 도봉구 노해로 379  (창동)","","Noni-Fitness club","20121212142100","I","2018-08-31 23:59:59.0","","204365.037901995    ","461125.753926996    ","체력단련장업","사립","","","0","0","","",""
"3090000","CDFH3301062004000002","20040813","","03","폐업","03","폐업","20061030","","","","900-4059","","132910","서울특별시 도봉구 창동 347-4번지 주공3단지 상가내 지하1 ","서울특별시 도봉구 해등로 48  (창동주공3단지 상가내 지하1)","","창동스포츠클럽","20061030134206","I","2018-08-31 23:59:59.0","","203794.927270997    ","460699.794608499    ","체력단련장업","사립","0","1","","2054.09","","",""
