"행정구역별(읍면동)","연령별",2020,2020,2020
"행정구역별(읍면동)","연령별",총인구(명),총인구_남자(명),총인구_여자(명)
"북구","10~14세",10542,5455,5087
"북구","15~19세",12120,6345,5775
"북구","20~24세",18290,9972,8318
"북구","25~29세",19538,10525,9013
"해운대구","10~14세",17569,9035,8534
"해운대구","15~19세",19177,10157,9020
"해운대구","20~24세",22753,12182,10571
"해운대구","25~29세",23543,12102,11441
"사하구","10~14세",11517,5962,5555
"사하구","15~19세",14599,7639,6960
"사하구","20~24세",20492,10837,9655
"사하구","25~29세",20581,11335,9246
"금정구","10~14세",7864,4117,3747
"금정구","15~19세",11124,5598,5526
"금정구","20~24세",21334,10566,10768
"금정구","25~29세",17467,9875,7592
"강서구","10~14세",6747,3396,3351
"강서구","15~19세",4223,2175,2048
"강서구","20~24세",5121,2950,2171
"강서구","25~29세",8175,4724,3451
"연제구","10~14세",7663,3965,3698
"연제구","15~19세",8203,4182,4021
"연제구","20~24세",12174,6233,5941
"연제구","25~29세",13526,6659,6867
"수영구","10~14세",5138,2640,2498
"수영구","15~19세",5959,3090,2869
"수영구","20~24세",9560,4699,4861
"수영구","25~29세",13673,6582,7091
"사상구","10~14세",6826,3540,3286
"사상구","15~19세",8756,4561,4195
"사상구","20~24세",15776,8104,7672
"사상구","25~29세",16050,8826,7224
"기장군","10~14세",9006,4659,4347
"기장군","15~19세",7734,4116,3618
"기장군","20~24세",7555,4054,3501
"기장군","25~29세",8771,4715,4056
"읍부","10~14세",11665,6010,5655
"읍부","15~19세",10428,5436,4992
"읍부","20~24세",12678,7125,5553
"읍부","25~29세",14861,8213,6648
"면부","10~14세",732,381,351
"면부","15~19세",679,422,257
"면부","20~24세",898,566,332
"면부","25~29세",1473,931,542
"동부","10~14세",92060,47767,44293
"동부","15~19세",109631,57485,52146
"동부","20~24세",151307,79828,71479
"동부","25~29세",146788,79001,67787
"중구","10~14세",2205,1162,1043
"중구","15~19세",2575,1299,1276
"중구","20~24세",5099,2336,2763
"중구","25~29세",6720,3327,3393
"동구","10~14세",12545,6523,6022
"동구","15~19세",13193,7126,6067
"동구","20~24세",18416,9816,8600
"동구","25~29세",21620,11491,10129
"서구","10~14세",4606,2321,2285
"서구","15~19세",6369,3402,2967
"서구","20~24세",10017,5484,4533
"서구","25~29세",11822,6616,5206
"남구","10~14세",3962,2080,1882
"남구","15~19세",5711,2884,2827
"남구","20~24세",10353,5054,5299
"남구","25~29세",11051,5673,5378
"북구","10~14세",19739,10189,9550
"북구","15~19세",24639,12726,11913
"북구","20~24세",36905,19604,17301
"북구","25~29세",31072,17242,13830
"수성구","10~14세",23770,12458,11312
"수성구","15~19세",25854,13847,12007
"수성구","20~24세",27515,14855,12660
"수성구","25~29세",24196,12843,11353
"달서구","10~14세",25233,13034,12199
"달서구","15~19세",31290,16201,15089
"달서구","20~24세",43002,22679,20323
"달서구","25~29세",40307,21809,18498
"달성군","10~14세",12397,6391,6006
"달성군","15~19세",11107,5858,5249
"달성군","20~24세",13576,7691,5885
"달성군","25~29세",16334,9144,7190
"읍부","10~14세",980,478,502
"읍부","15~19세",1211,595,616
"읍부","20~24세",1011,566,445
"읍부","25~29세",1097,612,485
"면부","10~14세",1626,873,753
"면부","15~19세",1601,924,677
"면부","20~24세",2529,1774,755
"면부","25~29세",2879,1907,972
"동부","10~14세",129084,66270,62814
"동부","15~19세",134445,69002,65443
"동부","20~24세",180356,93252,87104
"동부","25~29세",214598,112828,101770
"중구","10~14세",6390,3255,3135
"중구","15~19세",6642,3446,3196
"중구","20~24세",7130,3399,3731
"중구","25~29세",11576,6054,5522
"동구","10~14세",2405,1229,1176
"동구","15~19세",2526,1284,1242
"동구","20~24세",3241,1730,1511
"동구","25~29세",3355,1873,1482
"연수구","10~14세",21399,10981,10418
"연수구","15~19세",21086,10807,10279
"연수구","20~24세",26655,13714,12941
"연수구","25~29세",27710,14380,13330
"남동구","10~14세",24417,12453,11964
"남동구","15~19세",24370,12343,12027
"남동구","20~24세",31535,16240,15295
"남동구","25~29세",39194,20808,18386
"부평구","10~14세",19962,10368,9594
"부평구","15~19세",22217,11516,10701
"부평구","20~24세",30516,15650,14866
"부평구","25~29세",38676,19776,18900
"계양구","10~14세",12120,6215,5905
"계양구","15~19세",13694,6954,6740
"계양구","20~24세",19884,10248,9636
"계양구","25~29세",23269,12037,11232
"서구","10~14세",27768,14176,13592
"서구","15~19세",26324,13492,12832
"서구","20~24세",32176,16769,15407
"서구","25~29세",39391,21036,18355
"미추홀구","10~14세",14623,7593,7030
"미추홀구","15~19세",17586,9160,8426
"미추홀구","20~24세",29219,15502,13717
"미추홀구","25~29세",31427,16864,14563
"강화군","10~14세",2109,1102,1007
"강화군","15~19세",2326,1227,1099
"강화군","20~24세",2349,1362,987
"강화군","25~29세",2682,1592,1090
"옹진군","10~14세",497,249,248
"옹진군","15~19세",486,292,194
"옹진군","20~24세",1191,978,213
"옹진군","25~29세",1294,927,367
"동구","10~14세",3160,1628,1532
"동구","15~19세",4438,2350,2088
"동구","20~24세",9492,5015,4477
"동구","25~29세",8165,4222,3943
"서구","10~14세",14281,7497,6784
"서구","15~19세",15843,8302,7541
"서구","20~24세",21159,10858,10301
"서구","25~29세",22031,11111,10920
"남구","10~14세",10849,5432,5417
"남구","15~19세",11448,5707,5741
"남구","20~24세",14808,7527,7281
"남구","25~29세",13532,6890,6642
"북구","10~14세",19691,10393,9298
"북구","15~19세",23499,12421,11078
"북구","20~24세",34630,18060,16570
"북구","25~29세",32880,17501,15379
"광산구","10~14세",25773,13199,12574
"광산구","15~19세",26549,13618,12931
"광산구","20~24세",33763,17595,16168
"광산구","25~29세",30358,16518,13840
"동구","10~14세",9168,4749,4419
"동구","15~19세",13847,7199,6648
"동구","20~24세",23217,12237,10980
"동구","25~29세",15431,8629,6802
"중구","10~14세",9926,5071,4855
"중구","15~19세",11609,6149,5460
"중구","20~24세",14915,7502,7413
"중구","25~29세",15476,7842,7634
"서구","10~14세",23212,11917,11295
"서구","15~19세",27155,13956,13199
"서구","20~24세",38311,19057,19254
"서구","25~29세",38416,19736,18680
"유성구","10~14세",18838,9645,9193
"유성구","15~19세",21677,11565,10112
"유성구","20~24세",33237,17694,15543
"유성구","25~29세",31631,18185,13446
"대덕구","10~14세",7389,3883,3506
"대덕구","15~19세",9286,4747,4539
"대덕구","20~24세",13556,7342,6214
"대덕구","25~29세",12248,6986,5262
"읍부","10~14세",9949,5149,4800
"읍부","15~19세",9872,5239,4633
"읍부","20~24세",11680,6961,4719
"읍부","25~29세",12024,6967,5057
"면부","10~14세",818,428,390
"면부","15~19세",1172,697,475
